Mass memory,MMEMory:IMPort:PARameter:NORMalize {NONE|FSCale|ZREFerence},MMEMory:IMPort:PARameter:NORMalize?,"NONE|FSC|ZREF
",,"<Normalization_type>
NONE indicates that the imported data is not normalized.
FSCale indicates that the imported data is normalized with full DAC range.
ZREFerence indicates that the imported data is normalized with offset preserved.
At *RST, this returns NONE.
","MMEMORY:IMPORT:PARAMETER:NORMALIZE NONE will not normalize the
imported data.
","This command sets or queries if the imported data is normalized during text data
import operation.
The imported waveform data is normalized based on the option set in this
command.
When ZREFerence is selected, the offset is preserved during normalization
operation.
If FSCale is selected, offset is lost and full scale of the DAC is used for
normalization.
NONE will not normalize the data.
"
Mass memory,MMEMory:IMPort:PARameter:RESampling:FREQuency <NR3>,MMEMory:IMPort:PARameter:RESampling:FREQuency?,"<NR3>
",,"<NR3>
At *RST, this returns the maximum sampling rate for the non-interleaved mode.
","MMEMORY:IMPORT:PARAMETER:RESAMPLING:FREQUENCY 1.2E+9 sets the
resampling frequency to 1.2 GHz.
","This command sets or queries the sampling rate parameter for resampling. The
specified sampling rate is applied to imported waveform.
NOTE. This command will take effect only when the MMEMory:IMPort:
PARameter:FREQuency[:UPDate][:STATe] command is set to True.
Resampling setting is ignored if the MMEMory:IMPort:PARameter:FREQuency[:
UPDate][:STATe] command is set to False.
"
Mass memory,MMEMory:IMPort:PARameter:RESampling[:STATe] <state>,MMEMory:IMPort:PARameter:RESampling[:STATe]?,"<Boolean>
",,"<state>::=<Boolean>
0 indicates False
1 indicates True
At *RST, this returns 0.
","MMEMORY:IMPORT:PARAMETER:FREQUENCY:UPDATE:STATE 1 invokes
resampling automatically.
","This command sets or queries the resampling state for waveform import. This
command is effective only when the following conditions are met:
Waveform data to be imported must have sampling rate information.
MMEMory:IMPort:PARameter:FREQuency[:UPDate][:STATe] command
must be set to True.
Use this command to set the resampling state on or off. If you set the resampling
state on, resampling is automatically invoked when importing waveform data.
The query form of this command returns the resampling state of the instrument.
"
Mass memory,MMEMory:MDIRectory <directory_name>,,,,"<directory_name>::=<string> specifies a new directory.
","MMEMORY:MDIRECTORY ""WAVEFORM"" makes the directory ?€?WAVEFORM?€?.
","This command creates a new directory in the current path on the mass storage
system.
"
Mass memory,MMEMory:MSIS [<msus>],MMEMory:MSIS?,"<msus> (mass storage unit specifier)::=<string>
At *RST, this values is ?€?C:?€?
",,"<msus> (mass storage unit specifier)::=<string>
","MMEMORY:MSIS? might return the following response: ?€?X:?€?
","This command and query selects or returns a mass storage device used by all
MMEMory commands. <msus> specifies a drive using a drive letter. The drive
letter can represent hard disk drives, network drives, DVD/CD-RW drives, or
USB memory.
"
Synchronization,*OPC,*OPC?,"<NR1>
<NR1>=1 when all pending operations are finished.
",,,"*OPC? might return 1 to indicate that all pending OPC operations are finished.
","This command is used to ensure that the first command is complete before the
second command is issued. Always returns one on this instrument.
"
System,*OPT?,,"<opt>[, <opt> [, <opt>] ] ]
<opt>::= {0|01|02|03|06|08}
",,,"*OPT? might return 0 to indicate that no option is installed in the instrument.
","This command returns the implemented options for the arbitrary waveform
generator.
"
Output,OUTPut[n]:FILTer[:LPASs]:FREQuency {<NR3>|INFinity},OUTPut[n]:FILTer[:LPASs]:FREQuency?,"<NR3>
",,"<NR3>
At *RST, this value returns 9.9e37 (INFinity).
","OUTPUT1:FILTER:LPASS:FREQUENCY 200MHZ sets the cutoff frequency of the
low-pass filter for CH 1 to 200 MHz.
","This command and query sets or returns the low-pass filter frequency of the
filter. INFinity is same as Through (no filter). This command is not available on
instruments with option 02 or option 06.
"
Output,OUTPut[n][:STATe] <output_state>,OUTPut[n][:STATe]?,"<NR1>
",,"<output_state>::=<Boolean>
0 sets the channel output to False (OFF)
1 sets the channel output to True (ON)
At *RST, this returns 0.
","OUTPUT1:STATE ON turns the channel 1 output on.
","This command and query sets or returns the output state of the arbitrary waveform
generator. Setting the output state of a channel to ON will switch on its analog
output signal and marker.
"
System,*RST,,,,,"*RST resets the instrument.
","This command resets the arbitrary waveform generator to its default state.
"
Sequence,SEQuence:ELEMent[n]:GOTO:INDex <target>,SEQuence:ELEMent[n]:GOTO:INDex?,"<target>
",,"<target>::=<NR1>
","SEQUENCE:ELEMENT1:GOTO:INDEX 6 causes the sequencer to jump to sixth
element after executing the first element.
SEQUENCE:ELEMENT1:GOTO:INDEX? might return 6.
","This command and query sets or returns the target index for the GOTO command
of the sequencer.
After generating the waveform specified in a sequence element, the sequencer
jumps to the element specified as GOTO target. This is an unconditional jump. If
GOTO target is not specified, the sequencer simply moves on to the next element.
If the Loop Count is Infinite, the GOTO target which is specified in the element is
not used. For this command to work, the SEQuence:ELEMent[n]:GOTO:STATe
must be ON and the sequence element must exist.
Note that the first element of a sequence is taken to be 1 not 0.
"
Sequence,SEQuence:ELEMent[n]:GOTO:STATe <goto_state>,SEQuence:ELEMent[n]:GOTO:STATe?,"<NR1>
",,"<goto_state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
The value of <n> is an index number of sequence.
","SEQUENCE:ELEMENT1:GOTO:STATE 1 sets the GOTO state to ON.
","This command and query sets or returns the GOTO state of the sequencer. For
the SEQuence:ELEMent[n]:GOTO:INDex command to take effect, the GOTO
state must be set to ON.
"
Sequence,SEQuence:ELEMent[n]:JTARget:INDex <target>,SEQuence:ELEMent[n]:JTARget:INDex?,"<NR1>
",,"<target>::=<NR1>
<n> is an index number of sequence.
","SEQUENCE:ELEMENT1:JTARGET:INDEX 10 sets the jump target index to 10th
element.
","This command and query sets or returns the target index for the
sequencer?€?s event jump operation. Note that this will take effect only when
SEQuence:ELEMent[n]:JTARget:TYPE is set to INDex.
"
Sequence,SEQuence:ELEMent[n]:JTARget:TYPE {INDex|NEXT|OFF},SEQuence:ELEMent[n]:JTARget:TYPE?,"IND|NEXT|OFF
",,"INDex. This enables the sequencer to jump to an index set using
SEQuence:ELEMent1:JTARget:INDex command.
NEXT. This enables the sequencer to jump to the next sequence element.
SEQuence:ELEMent1:JTARget:INDex setting is ignored.
OFF. This enables the sequencer to turn off the event jump state. In this state, even
if the event occurs, the sequencer ignores it.
AT *RST, this value is OFF.
The value of n is an index number of sequence.
","SEQUENCE:ELEMENT1:JTARGET:TYPE INDEX sets the jump target to INDex.
","This command and query sets or returns the event jump target type for the jump.
Generate an event in one of the following ways:
By connecting an external cable to instrument rear panel for external event.
By pressing the Force Event button on the front panel.
By sending the EVENt[:IMMediate] remote command.
"
Sequence,SEQuence:ELEMent[n]:LOOP:COUNt <NR1>,SEQuence:ELEMent[n]:LOOP:COUNt?,"<NR1>
",,"<NR1>
The value ranges between 1 and 65,536.
At *RST, this returns 1.
The value of n is an index number of sequence.
","SEQUENCE:ELEMENT:LOOP:COUNT 100 sets the element loop count to 100.
","This command and query sets or returns the loop count. Loop count setting for an
element is ignored if SEQuence:ELEMent[n]:LOOP:INFinite is set to ON.
"
Sequence,SEQuence:ELEMent[n]:LOOP:INFinite <loop_state>,SEQuence:ELEMent[n]:LOOP:INFinite?,"<NR1>
",,"<loop_state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
The value of <n> is an index number of sequence.
","SEQUENCE:ELEMENT1:LOOP:INFINITE 1 sets the infinite flag to ON.
","This command and query sets or returns the infinite looping state for a
sequence element. When an infinite loop is set on an element, the sequencer
continuously executes that element. To break the infinite loop, either issue
the AWGControl:STOP[:IMMediate] command or change the run mode to
Continuous by using AWGControl:RMODe command.
"
Subsequence,SEQuence:ELEMent[n]:SUBSequence <subseq_name>,SEQuence:ELEMent[n]:SUBSequence?,"<subseq_name>
",,"<subseq_name>::=<string>
","SEQUENCE:ELEMENT10:SUBSEQUENCE ?€?MYTEST?€? inserts the subsequence
named ?€?mytest?€? at array position 10 of the main sequence.
SEQUENCE:ELEMENT10:SUBSEQUENCE? might return ?€?mytest?€?, which
indicates the sequence name.
","This command and query sets or returns the subsequence for a sequence element.
The AWG5012B, AWG5000C, and AWG7000C (option 09) series instruments
support Subsequence.
The subsequence name can be a null string (?€??€?). When a waveform is assigned to
this sequence, the command returns ?€??€?.
"
Sequence,SEQuence:ELEMent[n]:TWAit <Boolean>,SEQuence:ELEMent[n]:TWAit?,"<NR1>
",,"<wait_trigger_state>::=<Boolean>
0 indicates OFF
1 indicates ON
At *RST, this returns 0.
In the OFF state, the sequencer ignores trigger signals.
The value of <n> is an index number of sequence.
NOTE. The instrument without option 08 always sets Wait Trigger On. Trying to
set the wait trigger state to off in an instrument without option 08 will cause
an error.
","SEQUENCE:ELEMENT1:TWAIT 1 sets the wait trigger state to ON.
","This command and query sets or returns the wait trigger state for an element.
Send a trigger signal in one of the following ways:
By using an external trigger signal.
By pressing the ?€?Force Trigger?€? button on the front panel.
By sending the *TRG remote command.
"
Sequence,SEQuence:ELEMent[n]:WAVeform[m] [1|2|3|4] <wfm_name>,SEQuence:ELEMent[n]:WAVeform[m] [1|2|3|4]?,"<wfm_name>
",,"<wfm_name>::=<string>
","SEQUENCE:ELEMENT1:WAVEFORM1 ?€?*TRIANGLE1000?€? sets the
?€?*Triangle1000?€? waveform into the first element of the sequence.
SEQUENCE:ELEMENT20:WAVEFORM1? might return ?€?*Sine1000?€? indicating that
the waveform named *Sine1000 is assigned to index number 20 of the channel 1
sequence.
","This command and query sets or returns the waveform for a sequence element.
NOTE. The value of n indicates index number of sequence.
The value of m = 1|2|3|4 is based on the model. If the suffix is omitted, 1 is
assumed.
The value of m indicates the channel that will output the waveform when the
sequence is run.
The length of all the waveforms specified for a sequence element must be equal.
"
Sequence,SEQuence:JUMP[:IMMediate] <target>,,,,"<target>::=<NR1>
","SEQUENCE:JUMP:IMMEDIATE 10 forces the sequencer to jump to index number
10.
","This command forces the sequencer to jump to the specified element index. This
is called a Force jump. This command does not require an event for executing the
jump. Also, the Jump target specified for event jump is not used here.
"
Sequence,SEQuence:LENGth <NR1>,SEQuence:LENGth?,"<NR1>
",,"<NR1>
At *RST, this returns 0.
","SEQUENCE:LENGTH 10 creates a sequence of 10 elements initializing all
sequence parameters to default values.
SEQUENCE:LENGTH? will now return 10.
SEQUENCE:LENGTH 12 will append two elements to the end of the above created
sequence and initialize the new elements?€? parameters. However, it does not
change the already existing elements.
SEQUENCE:LENGTH 0 will delete the sequence.
","This command and query sets or returns the sequence length. Use this command
to create an uninitialized sequence. You can also use the command to clear all
sequence elements in a single action by passing 0 as the parameter. However, this
action cannot be undone so exercise necessary caution. Also note that passing a
value less than the sequence?€?s current length will cause some sequence elements
to be deleted at the end of the sequence. For example if SEQuence:LENGth?
returns 200 and you subsequently send SEQuence:LENGth 21, all sequence
elements except the first 20 will be deleted.
"
Subsequence,SLISt:NAME? <Index>,,"<NR1>
",,"<Index>::=<NR1>
","SLIST:NAME? 3 returns the name of the third subsequence in the subsequence list
provided the subsequence list has three or more elements.
","The query returns the name of the subsequence corresponding to the specified
index in the subsequence list.
"
Subsequence,SLISt:SIZE?,,"<NR1>
",,,"SLIST:SIZE? returns the number of existing subsequences.
","This query returns the size of the subsequence list.
"
Subsequence,SLISt:SUBSequence:DELete {<subseq_name>|ALL},SLISt:SUBSequence:DELete?,,,"<subseq_name>::=<string>
","SLIST:SUBSEQUENCE:DELETE ALL deletes all the subsequence from the
currently loaded setup. The ALL parameter does not delete predefined waveforms.
SLIST:SUBSEQUENCE:DELETE ?€?MYTEST?€? deletes the subsequence named
?€?mytest?€?.
","This command deletes the subsequence from the currently loaded setup.
NOTE. The subsequence will be deleted even if it is a part of the sequence.
When a subsequence is deleted in the main sequence, the string ?€?EMPTY?€? will
replace the previous subseq_name.
When you specify ALL, all the subsequences in the subsequence list are deleted
in a single action.
"
Subsequence,"SLISt:SUBSequence:ELEMent[n]:LOOP:COUNt <subseq_name>,<NR1>",SLISt:SUBSequence:ELEMent[n]:LOOP:COUNt? <subseq_name>,"<NR1>
",,"<NR1>
At *RST, this returns 0.
","SLIST:SUBSEQUENCE:ELEMENT5:LOOP:COUNT ?€?MYTEST?€?,11 sets the loop
count for the index element five of the subsequence named ?€?mytest?€? to 11.
SLIST:SUBSEQUENCE:ELEMENT5:LOOP:COUNT? ?€?MYTEST?€? might return 11,
which indicates that the loop count for the index element five of the sequence
named ?€?mytest?€? is set to 11.
","This command and query sets or returns the loop count for the specified
subsequence element. The loop count is an integer.
"
Subsequence,"SLISt:SUBSequence:ELEMent[n]:WAVeform[n] <subseq_name>,<wfm_name>",SLISt:SUBSequence:ELEMent[n]:WAVeform[n]? <subseq_name>,"<wfm_name>
",,"<subseq_name>::=<string>
<wfm_name>::=<string>
","SLIST:SUBSEQUENCE:ELEMENT5:WAVEFORM2 ?€?MYTEST?€?,?€?*SINE360?€? sets
the waveform ?€?*Sine360?€? to the fifth index element of the CH2 subsequence
named ?€?mytest?€?.
SLIST:SUBSEQUENCE:ELEMENT5:WAVEFORM2? ?€?MYTEST?€? might return
?€?*Sine360?€?, which indicates that the waveform named ?€?*Sine360?€? is assigned to
index element five of the CH2 subsequence named ?€?mytest?€?.
","This command and query sets or returns the waveform for an element of the
subsequence.
The value of n = 1 | 2 | 3 | 4 based on the model. If suffix is not specified, the
value of n is 1.
The value of ?€?n?€? indicates which channel will output the waveform when the
sequence is run.
NOTE. The waveform name can be a null string (?€? ?€?). However, a sequence with
?€? ?€? as one of its elements cannot be run.
"
Subsequence,"SLISt:SUBSequence:LENGth <subseq_name>,<NR1>",SLISt:SUBSequence:LENGth? <subseq_name>,"<NR1>
",,"<subseq_name>::=<string>
","SLIST:SUBSEQUENCE:LENGTH ?€?MYTEST?€?,101 changes the length of the
subsequence named ?€?mytest?€? to 101.
SLIST:SUBSEQUENCE:LENGTH? ?€?MYTEST?€? might return 101, which indicates
that the length of the subsequence named ?€?mytest?€? is 101.
","This command and query sets or returns the size of the subsequence.
"
Subsequence,"SLISt:SUBSequence:NEW <subseq_name>,<length>",,,,"<subseq_name>::=<string>
","SLIST:SUBSEQUENCE:NEW ?€?MYTEST?€?,100 creates a subsequence named
?€?mtest?€? of length 100.
","This command creates a new subsequence.
"
Subsequence,SLISt:SUBSequence:TSTamp? <subseq_name>,SLISt:SUBSequence:TSTamp?,,,,,"This query returns the time stamp of the subsequence.
Time stamp is updated whenever the subsequence is created or changed. It is not
updated when it is renamed. It returns date as a string in the form ?€?yyyy/mm/dd
hh:mm:ss?€? (a white space between data and time).
"
Subsequence,,,"<string>
",,"<subseq_name>::=<string>
","SLIST:SUBSEQUENCE:TSTAMP? ?€?MYTEST?€? returns the time stamp of the
subsequence named ?€?mytest?€?.
",
Source,[SOURce[1]]:FREQuency[:CW|:FIXed] <NR3>,[SOURce[1]]:FREQuency[:CW|:FIXed]?,"<NR3>
",,"<NR3>. The value must be between 10 MHz to 10 GHz.
At *RST, this returns 1.2000000E+10.
","SOURCE1:FREQUENCY 10MHZ sets the frequency to 10 MHz.
","This command and query sets or returns the sampling frequency of the arbitrary
waveform generator. Sampling frequency can be set when the internal clock
source is selected and one of the following conditions is met:
Internal is selected as Reference Source.
External is selected as Reference Source and Fixed is selected as External
Reference Type.
CW and FIXed are aliases and have the same effect.
Note that the frequency of the waveform output by the instrument is calculated as:
The minimum number of points in a waveform for the instrument is 1.
"
Source,[SOURce[1]]:ROSCillator:FREQuency <NR3>,[SOURce[1]]:ROSCillator:FREQuency?,"<NR3>
",,"<NR3>
At *RST, this returns 10 MHz.
","SOURCE1:ROSCILLATOR:FREQUENCY 10MHZ sets the reference oscillator
source frequency to 10 MHz.
SOURCE1:ROSCILLATOR:FREQUENCY? might return 1.00000000E+7.
","This command selects the reference oscillator frequency. Valid values are 10
MHz, 20 MHz and 100 MHz. This command is used when the Clock Source is
Internal and Reference Input is External and External Reference Type is Fixed.
"
Source,[SOURce[1]]:ROSCillator:MULTiplier <NR1>,[SOURce[1]]:ROSCillator:MULTiplier?,"<NR1>
",,"<NR1>
At *RST, this returns 1.
","SOURCE1:ROSCILLATOR:MULTIPLIER 10 sets the multiplier rate to 10.
SOURCE1:ROSCILLATOR:MULTIPLIER? might return 10.
","This command and query sets or returns the ROSCillator multiplier rate. This
parameter is valid only when Clock Source is Internal and Reference Source is
External and External Reference Type is Variable.
"
Source,[SOURce[1]]:ROSCillator:SOURce {INTernal|EXTernal},[SOURce[1]]:ROSCillator:SOURce?,"INT|EXT
",,"<INTernal|EXTernal>
INTernal ?€? The reference frequency is derived from the internal precision
oscillator.
EXTernal ?€? The reference frequency is derived from an external signal supplied
through the reference clock input.
At *RST, this returns INTernal.
","SOURCE1:ROSCILLATOR:SOURCE INTERNAL selects the internal clock source.
","This command selects the reference oscillator source. INTernal means that the
reference frequency is derived from the internal precision oscillator. EXTernal
means the reference frequency is derived from an external signal supplied through
the Reference Clock Input connector.
"
Source,[SOURce[1]]:ROSCillator:TYPE {FIXed|VARiable},[SOURce[1]]:ROSCillator:TYPE?,"FIX|VAR
",,"FIXed|VARiable
FIXed: Selects a reference source whose frequency is fixed to 10MHz,
20MHz, or 100MHz. Select one of these frequencies using the
[SOURce[1]]:ROSCillator:FREQuency command.
VARiable: Selects a reference source whose frequency is not fixed.
At *RST, this returns FIXed.
","SOURCE1:ROSCILLATOR:TYPE FIXED selects a fixed frequency external
reference oscillator. The frequency is fixed to 10 MHz, 20 MHz, or 100MHz.
","This command selects the type of the reference oscillator. This parameter is valid
only when Clock Source is Internal and Reference Source is External.
"
Source,"[SOURce[n]]:COMBine:FEED {""ESIGnal""|""""}",[SOURce[n]]:COMBine:FEED?,"""ESIG""|?€??€?
",,"?€?ESIGnal?€? ?€? Adds the input from the external signal.
?€??€? ?€? Removes the signal feed.
At *RST, this returns ?€??€?.
The value of n is 1,2,3 or 4 depending on the number of channels available.
Specifying ?€??€? as input cancels the setting.
","SOURCE1:COMBINE:FEED ""ESIGNAL"" adds an external signal to the channel 1
output signal.
","This command adds the signal from an external input to the output of the channel.
NOTE. When the signal addition is enabled, the return value is ?€?ESIG?€?. It is
always in uppercase.
When setting the parameter either ?€?ESIGnal?€? or ?€?ESIG?€? can be specified.
While setting the parameter, it is case insensitive.
"
Source,[SOURce[n]]:DAC:RESolution <NR1>,[SOURce[n]]:DAC:RESolution?,"<NR1>
",,"<NR1>
8 sets the DAC resolution to 8 bits.
10 sets the DAC resolution to 10 bits.
The value of n indicates the channel number.
At *RST, this returns 8.
","SOURCE1:DAC:RESOLUTION 10 sets the channel 1 resolution to 10 bits.
","This command and query sets or returns the DAC resolution.
NOTE. DAC supports 8-bit and 10-bit resolutions only for AWG7000 Series
instruments.
When the resolution changes to 10-bit, marker data will not be available.
AWG5000 Series instruments support only 14-bit resolution. Therefore this
command will have no effect for these instruments.
DAC resolution is independent for each channel in AWG7000 Series instruments.
"
Source,[SOURce[n]]:DELay[:ADJust] <NR3>,[SOURce[n]]:DELay[:ADJust]?,"<NR3>
",,"<NR3>
At *RST, this returns 0 s.
","SOURCE1:DELAY:ADJUST 20PS sets the analog output delay for channel 1 to 20
picoseconds.
","This command and query sets or returns the delay (in seconds) of the analog
output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:DELay:POINts <NR3>,[SOURce[n]]:DELay:POINts?,"<NR3>
",,"<NR3>
At *RST, this returns 0 points.
","SOURCE1:DELAY:POINTS 20 sets the analog output delay for channel 1 to 20
points.
","This command and query sets or returns the delay (in points) of the analog output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:AMPLITUDE 1.4 sets the
digital output amplitude level to 1.4 volts.
","only)
This command and query sets or returns the amplitude of digital output. This
command is available only for AWG500B and AWG5000C instruments with
option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:HIGH 1.4 sets the digital
output high level to 1.4 volts.
","This command and query sets or returns the high digital output. This command is
available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:LOW <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:LOW?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:LOW 0.5 sets the digital
output high level to 0.5 volts.
","This command and query sets or returns the low digital output. This command is
available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:OFFSet <NR3>,[SOURce[n]]:DIGital:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:DIGITAL:VOLTAGE:LEVEL:IMMEDIATE:OFFSET 1.0 sets the
digital output amplitude level to 1.0 volts.
","This command and query sets or returns the offset of digital output. This command
is available only for AWG5000B and AWG5000C instruments with option 03.
"
Source,"[SOURce[n]]:FUNCtion:USER <Waveform file_name>[,<msus>]",[SOURce[n]]:FUNCtion:USER?,"<file_name>
",,"<Waveform file_name>:: = <string>
Value of n indicates the channel number.
At *RST, this returns ?€? ?€?,?€?C:?€?.
","SOURCE1:FUNCTION:USER ""SAMPLE1.WFM"" loads sample1.wfm into
waveform list and also sets it as the output waveform of channel1.
","This command and query sets or returns the waveform to waveform memory.
Use this command to directly load an AWG400/500/600/700 series waveform
(WFM), pattern file (PAT), or sequence (SEQ) file from mass memory to a
specified channel.
However, when loading a sequence file, the SOURce?€?s suffix is ignored.
The waveform is internally converted to the AWG5000/AWG7000 series
format and inserted into the current waveform list. To successfully load a
waveform, the waveform name should conform to AWG5000/AWG7000
series waveform naming conventions.
If you specify the SEQ file, Run Mode is changed to Sequence.
If you specify a WFM or PAT file while the Run Mode is Sequence, Run
Mode is changed to Continuous.
When you import a sequence file (*.SEQ) for the AWG400/500/600/700
series using this command, all the user-defined waveforms are deleted before
the import operation.
"
Source,[SOURce[n]]:MARKer[1|2]:DELay <NR3>,[SOURce[n]]:MARKer[1|2]:DELay?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.
","SOURCE1:MARKER1:DELAY 20PS sets the marker1 delay of channel1 to 20
picoseconds.
SOURCE1:MARKER1:DELAY? might return 2.00000000E -011 indicating 20 ps.
","This command and query sets or returns the marker delay. Marker delay is
independent for each channel.
In the AWG7000 Series when DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:MARKER1:VOLTAGE:AMPLITUDE 0.5V sets the channel1
marker1amplitude to 0.5 volts.
SOURCE1:MARKER1:VOLTAGE:AMPLITUDE? might return 0.5 volts.
","This command sets the marker amplitude.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 1 V.
","SOURCE1:MARKER1:VOLTAGE:HIGH 0.75 sets the marker1 high to 0.75 volts.
","This command sets the marker high level.
In the AWG7000 Series, when DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
Refer to the User Online Help for the setting range of marker high and marker low.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:LOW <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:LOW?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0 V.
","SOURCE1:MARKER1:VOLTAGE:LOW 0.5 sets the marker1 low to 0.5 volts.
","This command sets the marker low level.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
Refer to the User Online Help for the setting range of marker high and marker low.
"
Source,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:OFFSet <NR3>,[SOURce[n]]:MARKer[1|2]:VOLTage[:LEVel][:IMMediate]:OFFSet?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:MARKER1:VOLTAGE:OFFSET 1.0 sets the offset channel1 marker1 to
1 V.
","This command sets the marker offset.
In the AWG7000 Series, when the DAC resolution is changed to 10 bits, marker
output is not available. However, marker related parameters can be modified
using SCPI commands.
"
Source,[SOURce[n]]:PDELay:HOLD {PHASe|DELay|POINt},[SOURce[n]]:PDELay:HOLD?,"PHAS|DEL|POIN
",,"PHASe|DELay|POINt
At *RST, this returns PHASe.
","SOURCE1:PDELAY:HOLD PHASE will retain the channel 1 phase value when the
instrument sampling rate or waveform length is changed.
","This command and query sets or returns the parameter that is retained when
sampling rate or waveform length is changed.
NOTE. The effect of this command can be seen only in non-sequence mode.
"
Source,[SOURce[n]]:PHASe[:ADJust] <NR3>,[SOURce[n]]:PHASe[:ADJust]?,"<NR3>
",,"<NR3>
At *RST, this returns 0 degree.
","SOURCE1:PHASE:ADJUST 180 sets the analog output phase for channel 1 to
180 degrees.
","This command and query sets or returns the phase of the analog output.
NOTE. The effect of this command can be seen only in non-sequence mode.
This command does not change the waveform display on the user interface.
"
Source,[SOURce[n]]:SKEW <NR3>,[SOURce[n]]:SKEW?,"<NR3>
",,"<NR3>
?€?100 ps to +100 ps. It can be changed by a minimum of 1 ps at a time.
The value of n indicates the channel number.
At *RST, this returns 0 s.
","SOURCE2:SKEW 75PS sets the skew for channel2 to 75 ps.
SOURCE2:SKEW? might return 7.50000000E-011, indicating that the skew is 75 ps.
","This command and query sets or returns the skew for the waveform associated
with a channel.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate][:AMPLitude] <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate][:AMPLitude]?,"<NR3>
",,"<NR3> in the range 50 mV to 2V pk-pk.
The value of n indicates the channel number.
At *RST, this returns 1 Vpp.
","SOURCE1:VOLTAGE:AMPLITUDE 1.5 sets the amplitude of channel1 to 1.5 volts.
SOURCE1:VOLTAGE:AMPLITUDE? might return 1.5.
","This command and query sets or returns the amplitude for the waveform
associated with a channel.
"
Source,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:HIGH <NR3>,[SOURce[n]]:VOLTage[:LEVel][:IMMediate]:HIGH?,"<NR3>
",,"<NR3>
The value of n indicates the channel number.
At *RST, this returns 0.5 V.
","SOURCE1:VOLTAGE:HIGH 0.75 sets the channel1?€?s high to 0.75 volts.
","This command and query sets or returns the high voltage level for the waveform
associated with a channel. The command is not available on instruments with
the Option 02 or Option 06 installed.
"
